,collectionDate,InBedsOccAnyPat__Numbeds_Est
0,Day for which estimate is made,"Hospital inpatient bed occupancy, percent estimate (percent of inpatient beds)"
1066,05JUN2020,66.0
1067,06JUN2020,63.5
1068,07JUN2020,62.4
1069,08JUN2020,62.3
1070,09JUN2020,67.2
1071,10JUN2020,67.3
1072,11JUN2020,68.2
1073,12JUN2020,67.1
1074,13JUN2020,64.5
1075,14JUN2020,62.3
1076,15JUN2020,63.2
1077,16JUN2020,64.9
1078,17JUN2020,63.1
1079,18JUN2020,67.9
1080,19JUN2020,66.6
1081,20JUN2020,64.3
1082,21JUN2020,60.3
1083,22JUN2020,62.3
1084,23JUN2020,65.8
1085,24JUN2020,67.6
1086,25JUN2020,69.5
1087,26JUN2020,68.0
1088,27JUN2020,65.7
1089,28JUN2020,62.3
1090,29JUN2020,64.6
1091,30JUN2020,67.9
1092,01JUL2020,69.3
1093,02JUL2020,68.3
1094,03JUL2020,68.2
1095,04JUL2020,64.2
1096,05JUL2020,64.1
1097,06JUL2020,66.9
1098,07JUL2020,70.2
1099,01APR2020,65.3
1100,02APR2020,62.9
1101,03APR2020,62.5
1102,04APR2020,61.7
1103,05APR2020,60.5
1104,06APR2020,60.8
1105,07APR2020,61.0
1106,08APR2020,59.0
1107,09APR2020,59.4
1108,10APR2020,56.5
1109,11APR2020,55.0
1110,12APR2020,56.3
1111,13APR2020,54.0
1112,14APR2020,56.8
1113,15APR2020,60.2
1114,16APR2020,58.3
1115,17APR2020,57.9
1116,18APR2020,59.1
1117,19APR2020,59.4
1118,20APR2020,60.4
1119,21APR2020,61.2
1120,22APR2020,56.8
1121,23APR2020,61.9
1122,24APR2020,62.4
1123,25APR2020,65.2
1124,26APR2020,65.7
1125,27APR2020,58.5
1126,28APR2020,61.2
1127,29APR2020,62.1
1128,30APR2020,62.8
1129,01MAY2020,61.3
1130,02MAY2020,60.4
1131,03MAY2020,54.6
1132,04MAY2020,59.4
1133,05MAY2020,61.6
1134,06MAY2020,61.6
1135,07MAY2020,62.1
1136,08MAY2020,61.6
1137,09MAY2020,60.0
1138,10MAY2020,59.4
1139,11MAY2020,61.9
1140,12MAY2020,62.7
1141,13MAY2020,64.8
1142,14MAY2020,66.0
1143,15MAY2020,63.0
1144,16MAY2020,61.1
1145,17MAY2020,57.3
1146,18MAY2020,62.8
1147,19MAY2020,63.5
1148,20MAY2020,69.5
1149,21MAY2020,72.8
1150,22MAY2020,73.4
1151,23MAY2020,66.7
1152,24MAY2020,66.5
1153,25MAY2020,67.4
1154,26MAY2020,67.7
1155,27MAY2020,69.3
1156,28MAY2020,69.5
1157,29MAY2020,68.4
1158,30MAY2020,67.6
1159,31MAY2020,66.4
1160,01JUN2020,65.3
1161,02JUN2020,66.1
1162,03JUN2020,70.4
1163,04JUN2020,67.8
1164,05JUN2020,66.0
1165,06JUN2020,63.8
1166,07JUN2020,62.4
1167,08JUN2020,60.1
1168,09JUN2020,64.8
1169,10JUN2020,67.8
1170,11JUN2020,72.3
1171,12JUN2020,72.0
1172,13JUN2020,62.5
1173,14JUN2020,56.6
1174,15JUN2020,64.3
1175,16JUN2020,67.1
1176,17JUN2020,0.0
1177,18JUN2020,60.3
1178,19JUN2020,69.6
1179,20JUN2020,64.9
1180,21JUN2020,62.2
1181,22JUN2020,64.1
1182,23JUN2020,65.7
1183,24JUN2020,70.9
1184,25JUN2020,61.4
1185,26JUN2020,65.0
1186,27JUN2020,61.1
1187,28JUN2020,68.6
1188,29JUN2020,74.1
1189,30JUN2020,77.7
1190,01JUL2020,81.1
1191,02JUL2020,79.3
1192,03JUL2020,72.5
1193,04JUL2020,65.5
1194,05JUL2020,60.8
1195,06JUL2020,64.8
1196,07JUL2020,67.2
1197,01APR2020,38.1
1198,02APR2020,39.1
1199,03APR2020,33.7
1200,04APR2020,31.2
1201,05APR2020,34.3
1202,06APR2020,35.3
1203,07APR2020,39.2
1204,08APR2020,35.8
1205,09APR2020,33.5
1206,10APR2020,34.8
1207,11APR2020,35.5
1208,12APR2020,35.5
1209,13APR2020,37.2
1210,14APR2020,40.2
1211,15APR2020,45.1
1212,16APR2020,41.7
1213,17APR2020,40.3
1214,18APR2020,41.1
1215,19APR2020,41.2
1216,20APR2020,44.3
1217,21APR2020,43.0
1218,22APR2020,43.7
1219,23APR2020,46.0
1220,24APR2020,46.2
1221,25APR2020,43.7
1222,26APR2020,42.6
1223,27APR2020,42.9
1224,28APR2020,46.2
1225,29APR2020,46.4
1226,30APR2020,44.4
1227,01MAY2020,45.9
1228,02MAY2020,45.7
1229,03MAY2020,43.5
1230,04MAY2020,44.3
1231,05MAY2020,45.8
1232,06MAY2020,46.0
1233,07MAY2020,46.4
1234,08MAY2020,45.7
1235,09MAY2020,45.2
1236,10MAY2020,45.2
1237,11MAY2020,45.3
1238,12MAY2020,48.2
1239,13MAY2020,50.5
1240,14MAY2020,50.5
1241,15MAY2020,49.9
1242,16MAY2020,47.6
1243,17MAY2020,46.7
1244,18MAY2020,48.8
1245,19MAY2020,50.4
1246,20MAY2020,51.3
1247,21MAY2020,52.3
1248,22MAY2020,51.7
1249,23MAY2020,48.7
1250,24MAY2020,46.9
1251,25MAY2020,48.5
1252,26MAY2020,49.0
1253,27MAY2020,50.3
1254,28MAY2020,52.1
1255,29MAY2020,53.1
1256,30MAY2020,47.6
1257,31MAY2020,45.1
1258,01JUN2020,47.4
1259,02JUN2020,49.1
1260,03JUN2020,52.8
1261,04JUN2020,55.1
1262,05JUN2020,51.7
1263,06JUN2020,48.2
1264,07JUN2020,47.7
1265,08JUN2020,48.5
1266,09JUN2020,50.1
1267,10JUN2020,51.8
1268,11JUN2020,51.9
1269,12JUN2020,50.9
1270,13JUN2020,52.0
1271,14JUN2020,48.6
1272,15JUN2020,49.5
1273,16JUN2020,52.5
1274,17JUN2020,52.7
1275,18JUN2020,52.1
1276,19JUN2020,50.0
1277,20JUN2020,50.1
1278,21JUN2020,47.5
1279,22JUN2020,47.9
1280,23JUN2020,51.4
1281,24JUN2020,50.5
1282,25JUN2020,50.6
1283,26JUN2020,52.4
1284,27JUN2020,51.0
1285,28JUN2020,49.3
1286,29JUN2020,49.6
1287,30JUN2020,51.2
1288,01JUL2020,52.3
1289,02JUL2020,54.2
1290,03JUL2020,50.3
1291,04JUL2020,47.8
1292,05JUL2020,45.2
1293,06JUL2020,47.7
1294,07JUL2020,50.6
1295,01APR2020,32.5
1296,02APR2020,32.1
1297,03APR2020,33.1
1298,04APR2020,31.5
1299,05APR2020,31.8
1300,06APR2020,34.7
1301,07APR2020,36.0
1302,08APR2020,37.0
1303,09APR2020,39.6
1304,10APR2020,40.3
1305,11APR2020,35.6
1306,12APR2020,33.3
1307,13APR2020,38.0
1308,14APR2020,38.2
1309,15APR2020,39.4
1310,16APR2020,39.2
1311,17APR2020,36.6
1312,18APR2020,35.1
1313,19APR2020,34.3
1314,20APR2020,36.3
1315,21APR2020,41.2
1316,22APR2020,41.2
1317,23APR2020,38.5
1318,24APR2020,37.1
1319,25APR2020,36.0
1320,26APR2020,36.2
1321,27APR2020,38.1
1322,28APR2020,41.3
1323,29APR2020,41.4
1324,30APR2020,41.0
1325,01MAY2020,39.1
1326,02MAY2020,37.2
1327,03MAY2020,37.2
1328,04MAY2020,39.3
1329,05MAY2020,40.5
1330,06MAY2020,42.5
1331,07MAY2020,41.4
1332,08MAY2020,39.1
1333,09MAY2020,37.6
1334,10MAY2020,37.1
1335,11MAY2020,40.5
1336,12MAY2020,42.7
1337,13MAY2020,44.8
1338,14MAY2020,43.5
1339,15MAY2020,41.8
1340,16MAY2020,39.8
1341,17MAY2020,38.7
1342,18MAY2020,40.9
1343,19MAY2020,43.8
1344,20MAY2020,45.4
1345,21MAY2020,43.7
1346,22MAY2020,41.0
1347,23MAY2020,39.3
1348,24MAY2020,38.7
1349,25MAY2020,37.1
1350,26MAY2020,41.5
1351,27MAY2020,45.2
1352,28MAY2020,44.7
1353,29MAY2020,44.0
1354,30MAY2020,40.0
1355,31MAY2020,40.2
1356,01JUN2020,43.4
1357,02JUN2020,57.4
1358,03JUN2020,62.3
1359,04JUN2020,59.3
1360,05JUN2020,42.4
1361,06JUN2020,40.7
1362,07JUN2020,39.0
1363,08JUN2020,40.6
1364,09JUN2020,44.0
1365,10JUN2020,62.1
1366,11JUN2020,46.3
1367,12JUN2020,45.0
1368,13JUN2020,42.1
1369,14JUN2020,40.0
1370,15JUN2020,44.4
1371,16JUN2020,46.5
1372,17JUN2020,59.5
1373,18JUN2020,47.1
1374,19JUN2020,45.5
1375,20JUN2020,44.5
1376,21JUN2020,45.3
1377,22JUN2020,45.7
1378,23JUN2020,46.7
1379,24JUN2020,61.3
1380,25JUN2020,47.5
1381,26JUN2020,46.7
1382,27JUN2020,43.6
1383,28JUN2020,42.9
1384,29JUN2020,44.5
1385,30JUN2020,46.6
1386,01JUL2020,47.6
1387,02JUL2020,47.5
1388,03JUL2020,45.7
1389,04JUL2020,43.2
1390,05JUL2020,41.7
1391,06JUL2020,46.5
1392,07JUL2020,49.6
1393,01APR2020,54.7
1394,02APR2020,55.8
1395,03APR2020,52.4
1396,04APR2020,50.0
1397,05APR2020,51.0
1398,06APR2020,51.8
1399,07APR2020,52.8
1400,08APR2020,54.7
1401,09APR2020,55.8
1402,10APR2020,55.0
1403,11APR2020,52.4
1404,12APR2020,52.0
1405,13APR2020,50.3
1406,14APR2020,50.7
1407,15APR2020,53.0
1408,16APR2020,52.4
1409,17APR2020,53.0
1410,18APR2020,51.1
1411,19APR2020,50.2
1412,20APR2020,53.0
1413,21APR2020,56.0
1414,22APR2020,56.9
1415,23APR2020,57.3
1416,24APR2020,57.5
1417,25APR2020,55.8
1418,26APR2020,55.0
1419,27APR2020,56.7
1420,28APR2020,58.3
1421,29APR2020,58.8
1422,30APR2020,60.7
1423,01MAY2020,60.3
1424,02MAY2020,58.5
1425,03MAY2020,59.6
1426,04MAY2020,59.1
1427,05MAY2020,60.0
1428,06MAY2020,61.2
1429,07MAY2020,61.7
1430,08MAY2020,60.5
1431,09MAY2020,58.3
1432,10MAY2020,55.9
1433,11MAY2020,57.5
1434,12MAY2020,59.8
1435,13MAY2020,61.8
1436,14MAY2020,61.6
1437,15MAY2020,60.8
1438,16MAY2020,59.5
1439,17MAY2020,56.0
1440,18MAY2020,59.3
1441,19MAY2020,61.8
1442,20MAY2020,62.7
1443,21MAY2020,60.2
1444,22MAY2020,62.2
1445,23MAY2020,57.7
1446,24MAY2020,55.7
1447,25MAY2020,56.5
1448,26MAY2020,58.8
1449,27MAY2020,62.4
1450,28MAY2020,63.2
1451,29MAY2020,62.1
1452,30MAY2020,58.4
1453,31MAY2020,56.7
1454,01JUN2020,57.5
1455,02JUN2020,59.6
1456,03JUN2020,58.8
1457,04JUN2020,59.8
1458,05JUN2020,59.8
1459,06JUN2020,58.6
1460,07JUN2020,55.7
1461,08JUN2020,55.5
1462,09JUN2020,60.6
1463,10JUN2020,58.3
1464,11JUN2020,62.4
1465,12JUN2020,60.3
1466,13JUN2020,58.1
1467,14JUN2020,55.8
1468,15JUN2020,56.6
1469,16JUN2020,59.5
1470,17JUN2020,60.4
1471,18JUN2020,62.2
1472,19JUN2020,60.8
1473,20JUN2020,58.7
1474,21JUN2020,55.6
1475,22JUN2020,56.2
1476,23JUN2020,60.9
1477,24JUN2020,61.7
1478,25JUN2020,61.6
1479,26JUN2020,60.0
1480,27JUN2020,57.0
1481,28JUN2020,54.5
1482,29JUN2020,57.0
1483,30JUN2020,60.1
1484,01JUL2020,59.2
1485,02JUL2020,57.3
1486,03JUL2020,56.0
1487,04JUL2020,52.6
1488,05JUL2020,51.4
1489,06JUL2020,54.4
1490,07JUL2020,59.8
1491,01APR2020,49.5
1492,02APR2020,49.4
1493,03APR2020,48.9
1494,04APR2020,46.1
1495,05APR2020,45.9
1496,06APR2020,44.7
1497,07APR2020,44.1
1498,08APR2020,46.7
1499,09APR2020,46.1
1500,10APR2020,45.3
1501,11APR2020,44.4
1502,12APR2020,45.1
1503,13APR2020,46.7
1504,14APR2020,46.0
1505,15APR2020,45.3
1506,16APR2020,48.0
1507,17APR2020,49.1
1508,18APR2020,48.6
1509,19APR2020,48.4
1510,20APR2020,45.1
1511,21APR2020,47.7
1512,22APR2020,47.4
1513,23APR2020,47.5
1514,24APR2020,47.3
1515,25APR2020,47.3
1516,26APR2020,44.9
1517,27APR2020,47.5
1518,28APR2020,47.9
1519,29APR2020,50.7
1520,30APR2020,48.2
1521,01MAY2020,47.6
1522,02MAY2020,46.3
1523,03MAY2020,45.7
1524,04MAY2020,48.1
1525,05MAY2020,51.4
1526,06MAY2020,53.3
1527,07MAY2020,52.3
1528,08MAY2020,51.7
1529,09MAY2020,50.0
1530,10MAY2020,46.0
1531,11MAY2020,48.2
1532,12MAY2020,50.3
1533,13MAY2020,52.1
1534,14MAY2020,52.8
1535,15MAY2020,52.1
1536,16MAY2020,50.0
1537,17MAY2020,48.3
1538,18MAY2020,49.8
1539,19MAY2020,53.6
1540,20MAY2020,58.7
1541,21MAY2020,56.8
1542,22MAY2020,55.4
1543,23MAY2020,53.9
1544,24MAY2020,51.0
1545,25MAY2020,51.4
1546,26MAY2020,54.1
1547,27MAY2020,58.3
1548,28MAY2020,58.7
1549,29MAY2020,58.7
1550,30MAY2020,55.3
1551,31MAY2020,53.0
1552,01JUN2020,53.6
1553,02JUN2020,56.3
1554,03JUN2020,58.5
1555,04JUN2020,59.0
1556,05JUN2020,58.5
1557,06JUN2020,53.7
1558,07JUN2020,53.7
1559,08JUN2020,53.1
1560,09JUN2020,58.2
1561,10JUN2020,59.0
1562,11JUN2020,59.8
1563,12JUN2020,59.9
1564,13JUN2020,56.6
1565,14JUN2020,53.7
1566,15JUN2020,54.0
1567,16JUN2020,57.8
1568,17JUN2020,58.7
1569,18JUN2020,59.7
1570,19JUN2020,58.7
1571,20JUN2020,57.4
1572,21JUN2020,54.9
1573,22JUN2020,56.4
1574,23JUN2020,58.6
1575,24JUN2020,61.0
1576,25JUN2020,60.4
1577,26JUN2020,59.1
1578,27JUN2020,55.2
1579,28JUN2020,53.9
1580,29JUN2020,55.3
1581,30JUN2020,57.8
1582,01JUL2020,58.5
1583,02JUL2020,58.0
1584,03JUL2020,56.6
1585,04JUL2020,53.9
1586,05JUL2020,52.7
1587,06JUL2020,55.9
1588,07JUL2020,59.4
1589,15APR2020,34.4
1590,16APR2020,34.2
1591,17APR2020,35.3
1592,18APR2020,34.6
1593,19APR2020,35.0
1594,20APR2020,35.5
1595,21APR2020,38.1
1596,22APR2020,37.7
1597,23APR2020,37.4
1598,24APR2020,38.5
1599,25APR2020,37.8
1600,26APR2020,36.7
1601,27APR2020,38.5
1602,28APR2020,40.3
1603,29APR2020,40.2
1604,30APR2020,40.3
1605,01MAY2020,40.5
1606,02MAY2020,38.7
1607,03MAY2020,37.6
1608,04MAY2020,40.5
1609,05MAY2020,43.0
1610,06MAY2020,44.2
1611,07MAY2020,43.8
1612,08MAY2020,43.1
1613,09MAY2020,41.3
1614,10MAY2020,40.3
1615,11MAY2020,42.2
1616,12MAY2020,44.2
1617,13MAY2020,46.4
1618,14MAY2020,45.3
1619,15MAY2020,43.8
1620,16MAY2020,41.9
1621,17MAY2020,40.1
1622,18MAY2020,41.4
1623,19MAY2020,45.3
1624,20MAY2020,47.2
1625,21MAY2020,47.7
1626,22MAY2020,46.4
1627,23MAY2020,44.0
1628,24MAY2020,40.9
1629,25MAY2020,40.5
1630,26MAY2020,44.1
1631,27MAY2020,46.5
1632,28MAY2020,48.1
1633,29MAY2020,45.1
1634,30MAY2020,44.6
1635,31MAY2020,45.6
1636,01JUN2020,46.9
1637,02JUN2020,47.9
1638,03JUN2020,52.2
1639,04JUN2020,49.1
1640,05JUN2020,48.8
1641,06JUN2020,46.1
1642,07JUN2020,45.0
1643,08JUN2020,45.4
1644,09JUN2020,50.4
1645,10JUN2020,52.2
1646,11JUN2020,50.3
1647,12JUN2020,50.4
1648,13JUN2020,49.4
1649,14JUN2020,45.8
1650,15JUN2020,47.2
1651,16JUN2020,49.2
1652,17JUN2020,48.1
1653,18JUN2020,48.7
1654,19JUN2020,48.4
1655,20JUN2020,49.3
1656,21JUN2020,46.8
1657,22JUN2020,48.4
1658,23JUN2020,51.9
1659,24JUN2020,54.2
1660,25JUN2020,56.1
1661,26JUN2020,51.0
1662,27JUN2020,48.9
1663,28JUN2020,47.8
1664,29JUN2020,46.1
1665,30JUN2020,47.8
1666,01JUL2020,48.8
1667,02JUL2020,46.2
1668,03JUL2020,44.7
1669,04JUL2020,42.2
1670,05JUL2020,41.4
1671,06JUL2020,42.8
1672,07JUL2020,46.5
1673,01APR2020,46.2
1674,02APR2020,47.5
1675,03APR2020,46.1
1676,04APR2020,37.3
1677,05APR2020,42.2
1678,06APR2020,40.3
1679,07APR2020,44.2
1680,08APR2020,45.5
1681,09APR2020,48.1
1682,10APR2020,46.9
1683,11APR2020,44.3
1684,12APR2020,43.0
1685,13APR2020,43.7
1686,14APR2020,45.5
1687,15APR2020,46.2
1688,16APR2020,46.1
1689,17APR2020,46.2
1690,18APR2020,44.6
1691,19APR2020,44.6
1692,20APR2020,47.0
1693,21APR2020,49.4
1694,22APR2020,51.3
1695,23APR2020,52.1
1696,24APR2020,49.0
1697,25APR2020,47.8
1698,26APR2020,46.6
1699,27APR2020,47.8
1700,28APR2020,50.7
1701,29APR2020,51.5
1702,30APR2020,50.8
1703,01MAY2020,51.7
1704,02MAY2020,49.5
1705,03MAY2020,48.1
1706,04MAY2020,49.7
1707,05MAY2020,50.9
1708,06MAY2020,51.1
1709,07MAY2020,51.9
1710,08MAY2020,51.0
1711,09MAY2020,50.4
1712,10MAY2020,47.7
1713,11MAY2020,50.2
1714,12MAY2020,52.9
1715,13MAY2020,53.7
1716,14MAY2020,54.8
1717,15MAY2020,55.5
1718,16MAY2020,53.1
1719,17MAY2020,50.9
1720,18MAY2020,53.9
1721,19MAY2020,56.5
1722,20MAY2020,58.1
1723,21MAY2020,57.9
1724,22MAY2020,58.4
1725,23MAY2020,55.5
1726,24MAY2020,52.8
1727,25MAY2020,52.2
1728,26MAY2020,55.6
1729,27MAY2020,59.9
1730,28MAY2020,58.6
1731,29MAY2020,55.2
1732,30MAY2020,54.1
1733,31MAY2020,51.9
1734,01JUN2020,53.2
1735,02JUN2020,56.7
1736,03JUN2020,59.1
1737,04JUN2020,60.7
1738,05JUN2020,58.8
1739,06JUN2020,56.9
1740,07JUN2020,52.9
1741,08JUN2020,57.0
1742,09JUN2020,62.6
1743,10JUN2020,63.5
1744,11JUN2020,62.3
1745,12JUN2020,61.4
1746,13JUN2020,59.8
1747,14JUN2020,57.4
1748,15JUN2020,57.8
1749,16JUN2020,61.6
1750,17JUN2020,64.8
1751,18JUN2020,63.9
1752,19JUN2020,63.3
1753,20JUN2020,59.3
1754,21JUN2020,54.4
1755,22JUN2020,58.4
1756,23JUN2020,57.2
1757,24JUN2020,60.4
1758,25JUN2020,67.7
1759,26JUN2020,72.6
1760,27JUN2020,66.5
1761,28JUN2020,63.3
1762,29JUN2020,62.6
1763,30JUN2020,65.7
1764,01JUL2020,66.6
1765,02JUL2020,65.9
1766,03JUL2020,64.4
1767,04JUL2020,60.9
1768,05JUL2020,60.0
1769,06JUL2020,62.8
1770,07JUL2020,67.7
1771,01APR2020,52.8
1772,02APR2020,54.7
1773,03APR2020,58.6
1774,04APR2020,56.0
1775,05APR2020,56.2
1776,06APR2020,56.7
1777,07APR2020,57.5
1778,08APR2020,57.8
1779,09APR2020,57.3
1780,10APR2020,55.4
1781,11APR2020,55.1
1782,12APR2020,55.4
1783,13APR2020,56.9
1784,14APR2020,56.4
1785,15APR2020,58.3
1786,16APR2020,57.7
1787,17APR2020,56.9
1788,18APR2020,55.6
1789,19APR2020,56.0
1790,20APR2020,57.4
1791,21APR2020,60.0
1792,22APR2020,60.6
1793,23APR2020,59.6
1794,24APR2020,58.6
1795,25APR2020,56.8
1796,26APR2020,56.5
1797,27APR2020,57.9
1798,28APR2020,60.6
1799,29APR2020,60.3
1800,30APR2020,61.0
1801,01MAY2020,60.7
1802,02MAY2020,59.5
1803,03MAY2020,59.7
1804,04MAY2020,60.1
1805,05MAY2020,64.8
1806,06MAY2020,66.7
1807,07MAY2020,66.5
1808,08MAY2020,66.3
1809,09MAY2020,62.6
1810,10MAY2020,59.6
1811,11MAY2020,60.6
1812,12MAY2020,64.3
1813,13MAY2020,65.7
1814,14MAY2020,66.2
1815,15MAY2020,64.9
1816,16MAY2020,62.9
1817,17MAY2020,61.1
1818,18MAY2020,62.1
1819,19MAY2020,66.0
1820,20MAY2020,66.7
1821,21MAY2020,66.8
1822,22MAY2020,67.3
1823,23MAY2020,63.1
1824,24MAY2020,61.4
1825,25MAY2020,60.7
1826,26MAY2020,63.3
1827,27MAY2020,68.0
1828,28MAY2020,69.0
1829,29MAY2020,67.1
1830,30MAY2020,63.8
1831,31MAY2020,62.2
1832,01JUN2020,61.7
1833,02JUN2020,66.6
1834,03JUN2020,65.8
1835,04JUN2020,68.0
1836,05JUN2020,62.1
1837,06JUN2020,59.6
1838,07JUN2020,59.4
1839,08JUN2020,60.6
1840,09JUN2020,63.2
1841,10JUN2020,63.2
1842,11JUN2020,64.4
1843,12JUN2020,62.5
1844,13JUN2020,58.0
1845,14JUN2020,61.7
1846,15JUN2020,59.8
1847,16JUN2020,65.3
1848,17JUN2020,68.3
1849,18JUN2020,64.1
1850,19JUN2020,68.8
1851,20JUN2020,64.1
1852,21JUN2020,62.2
1853,22JUN2020,62.7
1854,23JUN2020,66.0
1855,24JUN2020,64.8
1856,25JUN2020,64.8
1857,26JUN2020,66.9
1858,27JUN2020,62.4
1859,28JUN2020,62.5
1860,29JUN2020,60.4
1861,30JUN2020,64.2
1862,01JUL2020,65.2
1863,02JUL2020,66.6
1864,03JUL2020,65.3
1865,04JUL2020,58.3
1866,05JUL2020,59.7
1867,06JUL2020,61.4
1868,07JUL2020,65.3
1869,01APR2020,53.3
1870,02APR2020,59.5
1871,03APR2020,59.3
1872,04APR2020,60.9
1873,05APR2020,61.0
1874,06APR2020,65.8
1875,07APR2020,65.3
1876,08APR2020,66.4
1877,09APR2020,67.0
1878,10APR2020,68.1
1879,11APR2020,63.0
1880,12APR2020,63.7
1881,13APR2020,63.9
1882,14APR2020,66.5
1883,15APR2020,67.6
1884,16APR2020,68.0
1885,17APR2020,65.9
1886,18APR2020,68.4
1887,19APR2020,67.5
1888,20APR2020,70.9
1889,21APR2020,70.5
1890,22APR2020,70.1
1891,23APR2020,69.6
1892,24APR2020,69.4
1893,25APR2020,69.1
1894,26APR2020,68.7
1895,27APR2020,71.1
1896,28APR2020,72.4
1897,29APR2020,73.2
1898,30APR2020,70.3
1899,01MAY2020,71.4
1900,02MAY2020,71.3
1901,03MAY2020,71.1
1902,04MAY2020,74.3
1903,05MAY2020,76.6
1904,06MAY2020,76.0
1905,07MAY2020,74.0
1906,08MAY2020,73.9
1907,09MAY2020,73.5
1908,10MAY2020,73.8
1909,11MAY2020,74.7
1910,12MAY2020,74.1
1911,13MAY2020,74.1
1912,14MAY2020,74.3
1913,15MAY2020,75.5
1914,16MAY2020,75.3
1915,17MAY2020,74.1
1916,18MAY2020,74.4
1917,19MAY2020,76.6
1918,20MAY2020,76.9
1919,21MAY2020,74.6
1920,22MAY2020,76.5
1921,23MAY2020,76.9
1922,24MAY2020,71.2
1923,25MAY2020,70.8
1924,26MAY2020,73.1
1925,27MAY2020,73.4
1926,28MAY2020,79.3
1927,29MAY2020,75.8
1928,30MAY2020,72.3
1929,31MAY2020,74.0
1930,01JUN2020,71.2
1931,02JUN2020,72.9
1932,03JUN2020,73.2
1933,04JUN2020,75.2
1934,05JUN2020,75.9
1935,06JUN2020,74.3
1936,07JUN2020,70.1
1937,08JUN2020,75.3
1938,09JUN2020,75.9
1939,10JUN2020,75.8
1940,11JUN2020,71.9
1941,12JUN2020,73.7
1942,13JUN2020,71.3
1943,14JUN2020,70.5
1944,15JUN2020,73.9
1945,16JUN2020,77.8
1946,17JUN2020,79.9
1947,18JUN2020,74.7
1948,19JUN2020,71.8
1949,20JUN2020,73.5
1950,21JUN2020,71.5
1951,22JUN2020,75.8
1952,23JUN2020,78.5
1953,24JUN2020,79.0
1954,25JUN2020,78.5
1955,26JUN2020,78.1
1956,27JUN2020,76.8
1957,28JUN2020,72.3
1958,29JUN2020,75.0
1959,30JUN2020,77.3
1960,01JUL2020,77.1
1961,02JUL2020,76.2
1962,03JUL2020,75.3
1963,04JUL2020,71.1
1964,05JUL2020,73.1
1965,06JUL2020,74.6
1966,07JUL2020,76.9
1967,01APR2020,55.6
1968,02APR2020,57.0
1969,03APR2020,54.1
1970,04APR2020,52.1
1971,05APR2020,53.2
1972,06APR2020,53.3
1973,07APR2020,57.0
1974,08APR2020,58.1
1975,09APR2020,60.2
1976,10APR2020,57.4
1977,11APR2020,52.2
1978,12APR2020,54.0
1979,13APR2020,53.8
1980,14APR2020,56.5
1981,15APR2020,57.7
1982,16APR2020,61.4
1983,17APR2020,58.9
1984,18APR2020,57.0
1985,19APR2020,61.6
1986,20APR2020,69.0
1987,21APR2020,74.1
1988,22APR2020,75.8
1989,23APR2020,74.6
1990,24APR2020,74.3
1991,25APR2020,73.4
1992,26APR2020,76.7
1993,27APR2020,74.8
1994,28APR2020,75.9
1995,29APR2020,75.3
1996,30APR2020,75.9
1997,01MAY2020,74.1
1998,02MAY2020,74.1
1999,03MAY2020,74.1
2000,04MAY2020,76.0
2001,05MAY2020,75.6
2002,06MAY2020,77.9
2003,07MAY2020,77.7
2004,08MAY2020,78.2
2005,09MAY2020,76.2
2006,10MAY2020,77.2
2007,11MAY2020,77.1
2008,12MAY2020,78.5
2009,13MAY2020,78.6
2010,14MAY2020,77.3
2011,15MAY2020,77.9
2012,16MAY2020,76.7
2013,17MAY2020,76.8
2014,18MAY2020,76.7
2015,19MAY2020,78.4
2016,20MAY2020,78.8
2017,21MAY2020,78.2
2018,22MAY2020,77.0
2019,23MAY2020,76.3
2020,24MAY2020,72.5
2021,25MAY2020,79.0
2022,26MAY2020,73.6
2023,27MAY2020,82.9
2024,28MAY2020,81.3
2025,29MAY2020,80.5
2026,30MAY2020,77.6
2027,31MAY2020,78.4
2028,01JUN2020,78.2
2029,02JUN2020,80.7
2030,03JUN2020,83.0
2031,04JUN2020,84.7
2032,05JUN2020,80.1
2033,06JUN2020,81.6
2034,07JUN2020,79.0
2035,08JUN2020,79.7
2036,09JUN2020,82.7
2037,10JUN2020,83.6
2038,11JUN2020,81.9
2039,12JUN2020,82.5
2040,13JUN2020,78.6
2041,14JUN2020,78.7
2042,15JUN2020,76.5
2043,16JUN2020,79.8
2044,17JUN2020,80.8
2045,18JUN2020,80.7
2046,19JUN2020,80.0
2047,20JUN2020,78.5
2048,21JUN2020,76.3
2049,22JUN2020,78.7
2050,23JUN2020,78.3
2051,24JUN2020,82.4
2052,25JUN2020,76.3
2053,26JUN2020,71.4
2054,27JUN2020,70.2
2055,28JUN2020,81.3
2056,29JUN2020,81.3
2057,30JUN2020,80.9
2058,01JUL2020,80.5
2059,02JUL2020,78.9
2060,03JUL2020,73.7
2061,04JUL2020,68.4
2062,05JUL2020,68.8
2063,06JUL2020,68.5
2064,07JUL2020,72.0
2065,01APR2020,49.2
2066,02APR2020,47.5
2067,03APR2020,46.6
2068,04APR2020,45.0
2069,05APR2020,44.3
2070,06APR2020,46.3
2071,07APR2020,45.8
2072,08APR2020,46.5
2073,09APR2020,48.1
2074,10APR2020,48.3
2075,11APR2020,49.4
2076,12APR2020,49.9
2077,13APR2020,49.9
2078,14APR2020,51.0
2079,15APR2020,51.9
2080,16APR2020,51.8
2081,17APR2020,49.7
